국가명,거리,시차,인당GDP,인구,교민수,oda,대한국무역(M),웰첼거리,종교유사도,피식민지,신용도,FTA,영어,해상교역,법치주의
Azerbaijan,6.45,5,7125.9,1015.4,160,44098719,24,0.24,0.36,0,0.5,0,0,0,-0.6
Jordan,8,6,4455.5,1143.9,550,96429143,82,0.43,0.37,1,0.4,0,0.5,1,0.3
Kazakhstan,4.55,4,12918.9,2033,119542,11138348,560,0.2,0.62,0,0.55,0,0.5,0,-0.4
Uzbekistan,4.88,4,2849.5,3565.2,117270,252468944,245,0.33,0.47,0,0.4,0,0,0,-0.8
Turkey,7.73,6,13105.7,8532.6,2700,30913780,1043,0.31,0.32,0,0.4,1,0,1,-0.5
Mexico,12.03,15,13790,12974,13158,12546549,1980,0.14,0.74,0,0.6,0,0,1,-0.8
Brazil,17.54,12,10294.9,21114.1,1723,7597109,1291,0.22,0.81,0,0.45,0,0.5,1,-0.3
Argentina,19.44,12,14187.5,4553.8,22000,2312254,207,0.14,0.82,0,0.15,0,0.5,1,-0.4
Peru,16.03,14,7906.6,3384.6,1230,59666352,362,0.19,0.75,0,0.55,1,0,1,-0.5
Colombia,14.83,14,6947.4,5232.1,857,237578597,184,0.23,0.8,0,0.45,1,0,1,-0.5
Morocco,10.7,8,3771.4,3771.2,362,30051965,57,0.22,0.34,1,0.5,0,0,1,-0.1
Algeria,9.94,8,5364,4616.4,403,11965471,360,0.24,0.34,1,0,0,0,1,-0.7
Tunisia,9.5,8,3977.7,1220,160,21168476,1,0.28,0.34,1,0,0,0,1,-0.1
Egypt,8.48,6,3457.5,11453.6,1200,248009051,197,0.45,0.42,1,0.25,0,0.5,1,-0.2
South Africa,13.68,7,6022.5,6321.2,4369,3076411,437,0.16,0.75,1,0.4,0,0.5,1,0.1
India,4.68,3.5,2480.8,143807,11360,118529453,2460,0.34,0.42,1,0.6,1,0.5,1,0.2
Indonesia,5.29,2,4876.3,28119,24513,444571907,2129,0.33,0.43,1,0.6,1,0.5,1,-0.2
Thailand,3.72,2,7182,7170.2,20000,29308918,1125,0.17,0.59,0,0.65,1,0.5,1,0.2
Vietnam,2.74,2,4282.1,10035.2,178000,600881723,6414,0.15,0.95,1,0.5,1,0.5,1,-0.1
Philippines,2.62,1,3804.9,11489.1,34000,654227159,1365,0.25,0.74,1,0.65,1,1,1,-0.4
Bangladesh,2.78,3,2551,17146.7,1904,767835329,304,0.36,0.34,1,0.35,0,0,1,-0.5
Malaysia,4.61,1,11379.1,3512.6,13152,12915320,2500,0.18,0.59,1,0.7,1,0.5,1,0.6
